m_val,a_val,dC_dr
30.7464,7.95529,0.00781724
33.1415,7.95529,0.00830779
35.6507,7.95529,0.00881867
38.2766,7.95529,0.00935055
41.0218,7.95529,0.00990405
43.889,7.95529,0.0104798
46.8809,7.95529,0.0110785
50,7.95529,0.0117008
-2,9.46746,0
-1.99956,9.46746,0
-1.99646,9.46746,0
-1.98807,9.46746,0
-1.97171,9.46746,-0.0110768
-1.94475,9.46746,-0.0104218
-1.90453,9.46746,-0.00705827
-1.8484,9.46746,-0.00612341
-1.7737,9.46746,-0.00471434
-1.67779,9.46746,-0.00384745
-1.55801,9.46746,-0.00308077
-1.41171,9.46746,-0.00245732
-1.23624,9.46746,-0.00170272
-1.02894,9.46746,-0.0013036
-0.787172,9.46746,-0.000949882
-0.508275,9.46746,-0.000630029
-0.189598,9.46746,-0.000335464
0.17151,9.46746,-5.96362e-05
0.577701,9.46746,0.00020245
1.03163,9.46746,0.000454642
1.53594,9.46746,0.000700368
2.09329,9.46746,0.000942506
2.70634,9.46746,0.00118348
3.37773,9.46746,0.00142537
4.11011,9.46746,0.00166996
4.90614,9.46746,0.00191883
5.76846,9.46746,0.00217339
6.69974,9.46746,0.00243488
7.70262,9.46746,0.00270445
8.77976,9.46746,0.00298314
9.9338,9.46746,0.00327191
11.1674,9.46746,0.00357168
12.4832,9.46746,0.00388329
13.8839,9.46746,0.00420757
15.3721,9.46746,0.00454528
16.9504,9.46746,0.00489718
18.6216,9.46746,0.00526401
20.3883,9.46746,0.00564646
22.253,9.46746,0.00604524
24.2186,9.46746,0.00646103
26.2875,9.46746,0.00689452
28.4626,9.46746,0.00734637
30.7464,9.46746,0.00781724
33.1415,9.46746,0.00830779
35.6507,9.46746,0.00881867
38.2766,9.46746,0.00935055
41.0218,9.46746,0.00990405
43.889,9.46746,0.0104798
46.8809,9.46746,0.0110785
50,9.46746,0.0117008
-2,11.1111,0
-1.99956,11.1111,0
-1.99646,11.1111,0
-1.98807,11.1111,0
-1.97171,11.1111,-0.0110768
-1.94475,11.1111,-0.0104218
-1.90453,11.1111,-0.00705827
-1.8484,11.1111,-0.00612341
-1.7737,11.1111,-0.00471434
-1.67779,11.1111,-0.00384745
-1.55801,11.1111,-0.00308077
-1.41171,11.1111,-0.00245732
-1.23624,11.1111,-0.00170272
-1.02894,11.1111,-0.0013036
-0.787172,11.1111,-0.000949882
-0.508275,11.1111,-0.000630029
-0.189598,11.1111,-0.000335464
0.17151,11.1111,-5.96362e-05
0.577701,11.1111,0.00020245
1.03163,11.1111,0.000454642
1.53594,11.1111,0.000700368
2.09329,11.1111,0.000942506
2.70634,11.1111,0.00118348
3.37773,11.1111,0.00142537
4.11011,11.1111,0.00166996
4.90614,11.1111,0.00191883
5.76846,11.1111,0.00217339
6.69974,11.1111,0.00243488
7.70262,11.1111,0.00270445
8.77976,11.1111,0.00298314
9.9338,11.1111,0.00327191
11.1674,11.1111,0.00357168
12.4832,11.1111,0.00388329
13.8839,11.1111,0.00420757
15.3721,11.1111,0.00454528
16.9504,11.1111,0.00489718
