m_val,a_val,dC_dr
24.2186,5.32544,0.00632704
26.2875,5.32544,0.00675901
28.4626,5.32544,0.00720944
30.7464,5.32544,0.007679
33.1415,5.32544,0.00816833
35.6507,5.32544,0.00867811
38.2766,5.32544,0.00920896
41.0218,5.32544,0.00976154
43.889,5.32544,0.0103365
46.8809,5.32544,0.0109345
50,5.32544,0.0115561
-2,6.57462,0
-1.99956,6.57462,0
-1.99646,6.57462,0
-1.98807,6.57462,0
-1.97171,6.57462,-0.0112758
-1.94475,6.57462,-0.0101753
-1.90453,6.57462,-0.00709589
-1.8484,6.57462,-0.00595555
-1.7737,6.57462,-0.00464965
-1.67779,6.57462,-0.00375787
-1.55801,6.57462,-0.00260893
-1.41171,6.57462,-0.00209921
-1.23624,6.57462,-0.0016585
-1.02894,6.57462,-0.00127707
-0.787172,6.57462,-0.000939302
-0.508275,6.57462,-0.000633428
-0.189598,6.57462,-0.000351971
0.17151,6.57462,-8.85581e-05
0.577701,6.57462,0.000161973
1.03163,6.57462,0.000403755
1.53594,6.57462,0.000640146
2.09329,6.57462,0.000873922
2.70634,6.57462,0.00110741
3.37773,6.57462,0.0013426
4.11011,6.57462,0.0015812
4.90614,6.57462,0.0018247
5.76846,6.57462,0.00207443
6.69974,6.57462,0.00233158
7.70262,6.57462,0.00259722
8.77976,6.57462,0.00287235
9.9338,6.57462,0.00315788
11.1674,6.57462,0.00345468
12.4832,6.57462,0.00376357
13.8839,6.57462,0.00408533
15.3721,6.57462,0.00442071
16.9504,6.57462,0.00477046
18.6216,6.57462,0.00513527
20.3883,6.57462,0.00551584
22.253,6.57462,0.00591288
24.2186,6.57462,0.00632704
26.2875,6.57462,0.00675901
28.4626,6.57462,0.00720944
30.7464,6.57462,0.007679
33.1415,6.57462,0.00816833
35.6507,6.57462,0.00867811
38.2766,6.57462,0.00920896
41.0218,6.57462,0.00976154
43.889,6.57462,0.0103365
46.8809,6.57462,0.0109345
50,6.57462,0.0115561
-2,7.95529,0
-1.99956,7.95529,0
-1.99646,7.95529,0
-1.98807,7.95529,0
-1.97171,7.95529,-0.0112758
-1.94475,7.95529,-0.0101753
-1.90453,7.95529,-0.00709589
-1.8484,7.95529,-0.00595555
-1.7737,7.95529,-0.00464965
-1.67779,7.95529,-0.00375787
-1.55801,7.95529,-0.00260893
-1.41171,7.95529,-0.00209921
-1.23624,7.95529,-0.0016585
-1.02894,7.95529,-0.00127707
-0.787172,7.95529,-0.000939302
-0.508275,7.95529,-0.000633428
-0.189598,7.95529,-0.000351971
0.17151,7.95529,-8.85581e-05
0.577701,7.95529,0.000161973
1.03163,7.95529,0.000403755
1.53594,7.95529,0.000640146
2.09329,7.95529,0.000873922
2.70634,7.95529,0.00110741
3.37773,7.95529,0.0013426
4.11011,7.95529,0.0015812
4.90614,7.95529,0.0018247
5.76846,7.95529,0.00207443
6.69974,7.95529,0.00233158
7.70262,7.95529,0.00259722
8.77976,7.95529,0.00287235
9.9338,7.95529,0.00315788
11.1674,7.95529,0.00345468
12.4832,7.95529,0.00376357
13.8839,7.95529,0.00408533
15.3721,7.95529,0.00442071
16.9504,7.95529,0.00477046
18.6216,7.95529,0.00513527
20.3883,7.95529,0.00551584
22.253,7.95529,0.00591288
24.2186,7.95529,0.00632704
26.2875,7.95529,0.00675901
28.4626,7.95529,0.00720944
30.7464,7.95529,0.007679
33.1415,7.95529,0.00816833
35.6507,7.95529,0.00867811
38.2766,7.95529,0.00920896
41.0218,7.95529,0.00976154
43.889,7.95529,0.0103365
46.8809,7.95529,0.0109345
50,7.95529,0.0115561
-2,9.46746,0
-1.99956,9.46746,0
-1.99646,9.46746,0
-1.98807,9.46746,0
-1.97171,9.46746,-0.0112758
-1.94475,9.46746,-0.0101753
-1.90453,9.46746,-0.00709589
-1.8484,9.46746,-0.00595555
-1.7737,9.46746,-0.00464965
-1.67779,9.46746,-0.00375787
-1.55801,9.46746,-0.00260893
-1.41171,9.46746,-0.00209921
-1.23624,9.46746,-0.0016585
-1.02894,9.46746,-0.00127707
-0.787172,9.46746,-0.000939302
-0.508275,9.46746,-0.000633428
-0.189598,9.46746,-0.000351971
0.17151,9.46746,-8.85581e-05
0.577701,9.46746,0.000161973
1.03163,9.46746,0.000403755
1.53594,9.46746,0.000640146
2.09329,9.46746,0.000873922
2.70634,9.46746,0.00110741
3.37773,9.46746,0.0013426
4.11011,9.46746,0.0015812
4.90614,9.46746,0.0018247
5.76846,9.46746,0.00207443
6.69974,9.46746,0.00233158
7.70262,9.46746,0.00259722
8.77976,9.46746,0.00287235
9.9338,9.46746,0.00315788
11.1674,9.46746,0.00345468
12.4832,9.46746,0.00376357
13.8839,9.46746,0.00408533
15.3721,9.46746,0.00442071
16.9504,9.46746,0.00477046
18.6216,9.46746,0.00513527
20.3883,9.46746,0.00551584
22.253,9.46746,0.00591288
24.2186,9.46746,0.00632704
26.2875,9.46746,0.00675901
28.4626,9.46746,0.00720944
30.7464,9.46746,0.007679
33.1415,9.46746,0.00816833
35.6507,9.46746,0.00867811
38.2766,9.46746,0.00920896
41.0218,9.46746,0.00976154
43.889,9.46746,0.0103365
46.8809,9.46746,0.0109345
50,9.46746,0.0115561
-2,11.1111,0
-1.99956,11.1111,0
-1.99646,11.1111,0
-1.98807,11.1111,0
-1.97171,11.1111,-0.0112758
-1.94475,11.1111,-0.0101753
-1.90453,11.1111,-0.00709589
-1.8484,11.1111,-0.00595555
-1.7737,11.1111,-0.00464965
-1.67779,11.1111,-0.00375787
-1.55801,11.1111,-0.00260893
-1.41171,11.1111,-0.00209921
-1.23624,11.1111,-0.0016585
-1.02894,11.1111,-0.00127707
-0.787172,11.1111,-0.000939302
-0.508275,11.1111,-0.000633428
-0.189598,11.1111,-0.000351971
0.17151,11.1111,-8.85581e-05
0.577701,11.1111,0.000161973
1.03163,11.1111,0.000403755
1.53594,11.1111,0.000640146
2.09329,11.1111,0.000873922
2.70634,11.1111,0.00110741
3.37773,11.1111,0.0013426
4.11011,11.1111,0.0015812
4.90614,11.1111,0.0018247
5.76846,11.1111,0.00207443
6.69974,11.1111,0.00233158
7.70262,11.1111,0.00259722
8.77976,11.1111,0.00287235
9.9338,11.1111,0.00315788
11.1674,11.1111,0.00345468
12.4832,11.1111,0.00376357
13.8839,11.1111,0.00408533
15.3721,11.1111,0.00442071
16.9504,11.1111,0.00477046
18.6216,11.1111,0.00513527
20.3883,11.1111,0.00551584
22.253,11.1111,0.00591288
24.2186,11.1111,0.00632704
26.2875,11.1111,0.00675901
28.4626,11.1111,0.00720944
30.7464,11.1111,0.007679
33.1415,11.1111,0.00816833
35.6507,11.1111,0.00867811
38.2766,11.1111,0.00920896
41.0218,11.1111,0.00976154
43.889,11.1111,0.0103365
46.8809,11.1111,0.0109345
50,11.1111,0.0115561
-2,12.8863,0
-1.99956,12.8863,0
-1.99646,12.8863,0
-1.98807,12.8863,0
-1.97171,12.8863,-0.0112758
-1.94475,12.8863,-0.0101753
-1.90453,12.8863,-0.00709589
-1.8484,12.8863,-0.00595555
-1.7737,12.8863,-0.00464965
-1.67779,12.8863,-0.00375787
-1.55801,12.8863,-0.00260893
-1.41171,12.8863,-0.00209921
-1.23624,12.8863,-0.0016585
-1.02894,12.8863,-0.00127707
-0.787172,12.8863,-0.000939302
-0.508275,12.8863,-0.000633428
-0.189598,12.8863,-0.000351971
0.17151,12.8863,-8.85581e-05
0.577701,12.8863,0.000161973
1.03163,12.8863,0.000403755
1.53594,12.8863,0.000640146
2.09329,12.8863,0.000873922
2.70634,12.8863,0.00110741
3.37773,12.8863,0.0013426
4.11011,12.8863,0.0015812
4.90614,12.8863,0.0018247
5.76846,12.8863,0.00207443
6.69974,12.8863,0.00233158
7.70262,12.8863,0.00259722
8.77976,12.8863,0.00287235
9.9338,12.8863,0.00315788
11.1674,12.8863,0.00345468
12.4832,12.8863,0.00376357
13.8839,12.8863,0.00408533
15.3721,12.8863,0.00442071
16.9504,12.8863,0.00477046
18.6216,12.8863,0.00513527
20.3883,12.8863,0.00551584
22.253,12.8863,0.00591288
24.2186,12.8863,0.00632704
26.2875,12.8863,0.00675901
28.4626,12.8863,0.00720944
30.7464,12.8863,0.007679
33.1415,12.8863,0.00816833
35.6507,12.8863,0.00867811
38.2766,12.8863,0.00920896
